
============  18-05-23 11:04:59  ==============
05-23 11:05:17.012   158   158 I boot_progress_start: 30760
05-23 11:05:18.114   158   158 I boot_progress_preload_start: 31865
05-23 11:05:20.075   158   158 I boot_progress_preload_end: 33822
05-23 11:05:20.396   592   592 I boot_progress_system_run: 34141
05-23 11:05:20.606   592   592 I boot_progress_pms_start: 34351
05-23 11:05:20.986   592   592 I boot_progress_pms_system_scan_start: 34736
05-23 11:05:22.818   592   592 I boot_progress_pms_data_scan_start: 36560
05-23 11:05:23.419   592   592 I boot_progress_pms_scan_end: 37168
05-23 11:05:23.799   592   592 I boot_progress_pms_data_scan_start: 37549
05-23 11:05:23.799   592   592 I boot_progress_pms_ready: 37549
05-23 11:05:24.199   592   592 I dvm_lock_sample: [system_server,0,main,291,UserManagerService.java,289,PackageManagerService.java,1191,58]
05-23 11:05:24.510   592   602 I battery_status: [2,2,1,2,Li-ion]
05-23 11:05:24.510   592   602 I battery_level: [100,4311,200]
05-23 11:05:24.780   592   612 I screen_toggled: 1
05-23 11:05:24.910   592   592 I wm_stack_created: [0,-1,6,100]
05-23 11:05:25.090   592   592 I configuration_changed: 7672
05-23 11:05:26.281   592   592 I backup_data_changed: com.android.browser
05-23 11:05:26.291   592   592 I backup_data_changed: com.android.providers.userdictionary
05-23 11:05:26.291   592   592 I backup_data_changed: com.android.sharedstoragebackup
05-23 11:05:26.291   592   592 I backup_data_changed: android
05-23 11:05:26.302   592   592 I backup_data_changed: com.android.dialer
05-23 11:05:26.302   592   592 I backup_data_changed: com.android.providers.settings
05-23 11:05:26.312   592   592 I am_create_service: [0,1107884456,.LocalTransportService,1000,592]
05-23 11:05:26.312   592   592 I backup_data_changed: com.android.browser
05-23 11:05:26.312   592   592 I backup_data_changed: com.android.providers.userdictionary
05-23 11:05:26.312   592   592 I backup_data_changed: com.android.sharedstoragebackup
05-23 11:05:26.312   592   592 I backup_data_changed: android
05-23 11:05:26.322   592   592 I backup_data_changed: com.android.dialer
05-23 11:05:26.322   592   592 I backup_data_changed: com.android.providers.settings
05-23 11:05:26.432   592   592 I am_fork_process_time: [0,Fork .keyguard takes: 21ms]
05-23 11:05:26.432   592   592 I am_proc_start: [0,673,10008,com.android.systemui,service,com.android.keyguard/.KeyguardService]
05-23 11:05:26.492   592   603 I am_proc_bound: [0,673,com.android.systemui]
05-23 11:05:26.492   592   592 I am_wtf  : [0,592,system_server,-1,SystemServer,Unable to find app for caller android.app.ActivityThread$ApplicationThread@421ad790 (pid=592) when registering receiver android.app.LoadedApk$ReceiverDispatcher$InnerReceiver@421ae308]
05-23 11:05:26.502   592   603 I am_create_service: [0,1108991488,.KeyguardService,10008,673]
05-23 11:05:28.253   592   592 I am_fork_process_time: [0,Fork .phone takes: 13ms]
05-23 11:05:28.253   592   592 I am_proc_start: [0,698,1001,com.android.phone,added application,com.android.phone]
05-23 11:05:28.263   592   592 I boot_progress_ams_ready: 42010
05-23 11:05:28.273   592   602 I am_proc_bound: [0,698,com.android.phone]
05-23 11:05:28.273   592   592 I am_create_service: [0,1108558344,.SystemUIService,10008,673]
05-23 11:05:29.084   592   592 I configuration_changed: 512
05-23 11:05:29.084   592   611 I notification_enqueue: [android,17040573,NULL,-1,Notification(pri=0 contentView=android/0x1090067 vibrate=null sound=null defaults=0x0 flags=0x2 kind=[null])]
05-23 11:05:29.084   592   611 I notification_enqueue: [android,17040581,NULL,-1,Notification(pri=-1 contentView=android/0x1090067 vibrate=null sound=null defaults=0x0 flags=0x2 kind=[null])]
05-23 11:05:29.114   592   607 I am_fork_process_time: [0,Fork .settings takes: 26ms]
05-23 11:05:29.114   592   607 I am_proc_start: [0,769,1000,com.android.settings,broadcast,com.android.settings/com.sprd.settings.SprdUsbReceiver]
05-23 11:05:29.204   592   757 I am_proc_bound: [0,769,com.android.settings]
05-23 11:05:29.264   592   592 I am_create_service: [0,1109309424,.ImageWallpaper,10008,673]
05-23 11:05:29.294   592   592 I am_fork_process_time: [0,Fork .inputmethod takes: 18ms]
05-23 11:05:29.294   592   592 I am_proc_start: [0,784,10047,com.iflytek.inputmethod,service,com.iflytek.inputmethod/.FlyIME]
05-23 11:05:29.354   592   667 I am_proc_bound: [0,784,com.iflytek.inputmethod]
05-23 11:05:29.354   592   667 I am_create_service: [0,1109324832,.FlyIME,10047,784]
05-23 11:05:30.105   592   670 I backup_data_changed: android
05-23 11:05:30.145   592   670 I backup_data_changed: android
05-23 11:05:30.145   592   670 I backup_data_changed: android
05-23 11:05:30.155   592   670 I backup_data_changed: android
05-23 11:05:30.205   592   670 I backup_data_changed: android
05-23 11:05:30.225   592   670 I backup_data_changed: android
05-23 11:05:30.235   592   670 I backup_data_changed: android
05-23 11:05:30.255   592   670 I backup_data_changed: android
05-23 11:05:30.265   592   667 I am_create_service: [0,1109768120,.TelephonyDebugService,1001,698]
05-23 11:05:30.335   592   603 I force_gc: Binder
05-23 11:05:30.355   592   757 I am_fork_process_time: [0,Fork .contacts takes: 29ms]
05-23 11:05:30.355   592   757 I am_proc_start: [0,820,10015,android.process.acore,content provider,com.android.providers.contacts/.CallLogProvider]
05-23 11:05:30.375   592   602 I am_create_service: [0,1109781336,.BluetoothPhoneService,1001,698]
05-23 11:05:30.416   592   602 I am_proc_bound: [0,820,android.process.acore]
05-23 11:05:30.536   592   832 I am_create_service: [0,1106002720,.RadioInteractorService,1001,698]
05-23 11:05:30.746   592   667 I am_create_service: [0,1107402512,.SyncSimAccountsWatchdog,10015,820]
05-23 11:05:30.856   592   602 I am_fork_process_time: [0,Fork .dialer takes: 20ms]
05-23 11:05:30.856   592   602 I am_proc_start: [0,842,10043,com.android.incallui,service,com.android.dialer/com.sprd.incallui.VideoCallHandlerService]
05-23 11:05:30.906   592   602 I am_proc_bound: [0,842,com.android.incallui]
05-23 11:05:30.906   592   602 I am_create_service: [0,1107564952,.VideoCallHandlerService,10043,842]
05-23 11:05:30.916   592   602 I am_create_service: [0,1107750208,.CallHandlerService,10043,842]
05-23 11:05:31.106   592   592 I am_create_service: [0,1107922824,.FusedLocationService,1000,592]
05-23 11:05:31.136   592   592 I am_create_service: [0,1108127584,.GeofenceHardwareService,1000,592]
05-23 11:05:31.196   592   592 I am_fork_process_time: [0,Fork .validator takes: 16ms]
05-23 11:05:31.196   592   592 I am_proc_start: [0,872,1000,com.spreadst.validator,added application,com.spreadst.validator]
05-23 11:05:31.226   592   592 I am_fork_process_time: [0,Fork .modemassert takes: 23ms]
05-23 11:05:31.226   592   592 I am_proc_start: [0,877,10002,com.android.modemassert,added application,com.android.modemassert]
05-23 11:05:31.256   592   592 I am_fork_process_time: [0,Fork .mmsg takes: 33ms]
05-23 11:05:31.256   592   592 I am_proc_start: [0,883,10044,com.tihomobi.mmshell.mmsg,added application,com.tihomobi.mmshell.mmsg]
05-23 11:05:31.336   592   592 I am_fork_process_time: [0,Fork .kk takes: 74ms]
05-23 11:05:31.336   592   592 I am_proc_start: [0,895,10030,com.tihomobi.mmshell.kk,added application,com.tihomobi.mmshell.kk]
05-23 11:05:31.517   592   592 I am_create_task: [0,1]
05-23 11:05:31.517   592   592 I am_create_activity: [0,1108098592,1,com.alading.launcher/.MainActivity,android.intent.action.MAIN,NULL,NULL,268435456]
05-23 11:05:31.517   592   592 I wm_task_created: [1,0]
05-23 11:05:31.517   592   592 I wm_task_moved: [1,1,0]
05-23 11:05:31.517   592   592 I wm_home_stack_moved: 1
05-23 11:05:31.537   592   592 I am_fork_process_time: [0,Fork .launcher takes: 19ms]
05-23 11:05:31.537   592   592 I am_proc_start: [0,926,10050,com.alading.launcher,activity,com.alading.launcher/.MainActivity]
05-23 11:05:31.557   592   669 I dvm_lock_sample: [system_server,0,Thread-67,287,ActivityManagerService.java,7237,-,9986,57]
